Teams,Matches,Points,Ratings
Teams,Matches,Points,Ratings
England,44,"5,405",123
India,52,"6,102",117
New Zealand,32,"3,716",116
Australia,39,"4,344",111
South Africa,31,"3,345",108
Pakistan,35,"3,590",103
Bangladesh,34,"2,989",88
Sri Lanka,39,"3,297",85
West Indies,43,"3,285",76
Afghanistan,28,"1,549",55
