Players,Teams,Ratings
Virat Kohli,IND,871
Rohit Sharma,IND,855
Babar Azam,PAK,837
Ross Taylor,NZ,818
Francois du Plessis,SA,790
Kane Williamson,NZ,765
Aaron Finch,AUS,762
David Warner,AUS,759
Quinton de Kock,SA,755
Jonny Bairstow,ENG,754
