Players,Teams,Ratings
Trent Boult,NZ,722
Jasprit Bumrah,IND,719
Mujeeb Ur Rahman,AFG,701
Chris Woakes,ENG,675
Kagiso Rabada,SA,665
Pat Cummins,AUS,659
Josh Hazlewood,AUS,654
Mohammad Amir,PAK,647
Matt Henry,NZ,641
Jofra Archer,ENG,637
