Players,Teams,Ratings
Ellyse Perry,AUS,460
Stafanie Taylor,WI,410
Marizanne Kapp,SA,389
Deepti Sharma,IND,359
Dane van Niekerk,SA,335
Jess Jonassen,AUS,301
Sophie Devine,NZ,289
Natalie Sciver,ENG,273
Shikha Pandey,IND,250
Katherine Brunt,ENG,232
