Teams,Matches,Points,Ratings
Australia,15,"2,436",162
India,15,"1,812",121
England,14,"1,670",119
South Africa,16,"1,713",107
New Zealand,15,"1,384",92
West Indies,12,"1,025",85
Pakistan,12,927,77
Bangladesh,5,306,61
Sri Lanka,11,519,47
Ireland,2,25,13
