period,short description,temp,description
period,short description,temp,description
Today,Sunny,64, Calm wind becoming northwest around 5 mph in the afternoon
Saturday,Mostly sunny,63, West southwest wind 5 to 7 mph
Sunday,Partly sunny,63, North wind 5 to 7 mph
Monday,Sunny,69,
Tuesday,Sunny,66,
Wednesday,Sunny,65,
Thursday,Sunny,63,
