Name,Price,Image URL,Rating
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage)","Rs. 5,999",https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,3.4 out of 5 stars
"Redmi Note 9 (Scarlet Red, 4GB RAM, 64GB Storage)","Rs. 11,999",https://m.media-amazon.com/images/I/81TthwnRxML._AC_UY218_.jpg,4.2 out of 5 stars
"Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 128GB Storage)","Rs. 14,999",https://m.media-amazon.com/images/I/81pzsRpE5GL._AC_UY218_.jpg,4.2 out of 5 stars
"Redmi 9 Prime (Mint Green, 4GB RAM, 128GB Storage)","Rs. 10,999",https://m.media-amazon.com/images/I/710qEb8G3gL._AC_UY218_.jpg,4.2 out of 5 stars
"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)","Rs. 16,999",https://m.media-amazon.com/images/I/81DvimWN5xL._AC_UY218_.jpg,4.1 out of 5 stars
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","Rs. 16,499",https://m.media-amazon.com/images/I/71OxJeyywSL._AC_UY218_.jpg,4.2 out of 5 stars
NOKIA 105 Dual SIM (Black),"Rs. 1,338",https://m.media-amazon.com/images/I/31epIjp9ToL._AC_UY218_.jpg,3.9 out of 5 stars
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage)","Rs. 16,999",https://m.media-amazon.com/images/I/81u6E5niDiL._AC_UY218_.jpg,4.1 out of 5 stars
"IKALL K37 2.4 Inch Display Feature Phone (Dual SIM , Blue)",Rs. 799,https://m.media-amazon.com/images/I/51C5SSX4+GL._AC_UY218_.jpg,3.0 out of 5 stars
"Redmi Note 9 Pro Max (Glacier White, 6GB RAM, 128GB Storage)","Rs. 18,499",https://m.media-amazon.com/images/I/81gdSMa6V5L._AC_UY218_.jpg,4.1 out of 5 stars
"Redmi Note 9 (Shadow Black, 4GB RAM, 64GB Storage)","Rs. 11,999",https://m.media-amazon.com/images/I/81CSa7tuHwL._AC_UY218_.jpg,4.2 out of 5 stars
"Redmi 8A Dual (Sky White, 2GB RAM, 32GB Storage)","Rs. 6,999",https://m.media-amazon.com/images/I/710p2f-zAdL._AC_UY218_.jpg,4.0 out of 5 stars
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery)","Rs. 5,000",https://m.media-amazon.com/images/I/41QsvcpKaZL._AC_UY218_.jpg,2.9 out of 5 stars
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage)","Rs. 11,990",https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg,4.0 out of 5 stars
"Redmi 9 Prime (Matte Black, 4GB RAM, 128GB Storage)","Rs. 10,999",https://m.media-amazon.com/images/I/711+lAQXogL._AC_UY218_.jpg,4.2 out of 5 stars
"Redmi 9 (Sky Blue, 4GB RAM, 128GB Storage)","Rs. 9,999",https://m.media-amazon.com/images/I/51e+szfo7uL._AC_UY218_.jpg,4.0 out of 5 stars
"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage)","Rs. 5,999",https://m.media-amazon.com/images/I/71ahT-X2FgL._AC_UY218_.jpg,3.4 out of 5 stars
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","Rs. 19,499",https://m.media-amazon.com/images/I/71BFG8Zu7zL._AC_UY218_.jpg,4.3 out of 5 stars
"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage)","Rs. 4,999",https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,3.4 out of 5 stars
"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)","Rs. 15,999",https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UY218_.jpg,4.2 out of 5 stars
"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 128GB Storage)","Rs. 10,999",https://m.media-amazon.com/images/I/71GqB5VJFgL._AC_UY218_.jpg,4.2 out of 5 stars
